Population,Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
All Population,Brazil,2023,0-6 days,Both,HIV/AIDS and sexually transmitted infections,"Deaths per 100,000",207.29405159256206,182.8274538585398,233.57093787977195
All Population,Brazil,2023,7-27 days,Both,HIV/AIDS and sexually transmitted infections,"Deaths per 100,000",25.70283645758024,21.77983617045687,29.92550254193069
All Population,Brazil,2023,1-5 months,Both,HIV/AIDS and sexually transmitted infections,"Deaths per 100,000",6.511517941743808,5.5965737747074735,7.509235037422386
All Population,Brazil,2023,6-11 months,Both,HIV/AIDS and sexually transmitted infections,"Deaths per 100,000",1.8254614459478342,1.4875555842997774,2.1940066794513826
All Population,Brazil,2023,12-23 months,Both,HIV/AIDS and sexually transmitted infections,"Deaths per 100,000",0.9481427225421191,0.7766227188341307,1.1274172912681288
All Population,Brazil,2023,2-4 years,Both,HIV/AIDS and sexually transmitted infections,"Deaths per 100,000",0.40917627508729354,0.3376053187896022,0.4859266319096851
All Population,Brazil,2023,5-9 years,Both,HIV/AIDS and sexually transmitted infections,"Deaths per 100,000",0.2906911959939824,0.2413223594741357,0.3366235624863693
All Population,Brazil,2023,10-14 years,Both,HIV/AIDS and sexually transmitted infections,"Deaths per 100,000",0.35618309765662953,0.3048084545979301,0.4048548621296131
All Population,Brazil,2023,15-19 years,Both,HIV/AIDS and sexually transmitted infections,"Deaths per 100,000",0.8860773778110218,0.7836078026792219,0.9993186864904502
All Population,Brazil,2023,20-24 years,Both,HIV/AIDS and sexually transmitted infections,"Deaths per 100,000",2.8425091608810162,2.5768374773531884,3.11313960252189
All Population,Brazil,2023,25-29 years,Both,HIV/AIDS and sexually transmitted infections,"Deaths per 100,000",6.287206126552895,5.797332587855001,6.830147520136921
All Population,Brazil,2023,30-34 years,Both,HIV/AIDS and sexually transmitted infections,"Deaths per 100,000",8.092434702867354,7.468814868383742,8.791119160343825
All Population,Brazil,2023,35-39 years,Both,HIV/AIDS and sexually transmitted infections,"Deaths per 100,000",10.048678585458276,9.213368931355525,10.864855254637323
All Population,Brazil,2023,40-44 years,Both,HIV/AIDS and sexually transmitted infections,"Deaths per 100,000",11.891462404026301,11.146888560386127,12.718372957853683
All Population,Brazil,2023,45-49 years,Both,HIV/AIDS and sexually transmitted infections,"Deaths per 100,000",12.593587875605502,11.720376152881022,13.494325833937804
