population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,344,Neglected tropical diseases and malaria,1,Number,1992,14277.414816744022,17040.83357900174,12136.612195211368
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,344,Neglected tropical diseases and malaria,2,Percent,1992,0.01632912527927467,0.019456900644447984,0.013870041561916771
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,344,Neglected tropical diseases and malaria,3,Rate,1992,9.258127691647537,11.050054598223959,7.8699335201425376
1,All Population,1,Deaths,135,Brazil,3,Both,27,Age-standardized,344,Neglected tropical diseases and malaria,3,Rate,1992,12.86632160901105,14.80716134938647,11.403402231651857
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,508,Chronic respiratory diseases,1,Number,1992,38560.441967210456,41650.695170932486,35304.38326729683
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,508,Chronic respiratory diseases,2,Percent,1992,0.04410320630360548,0.047641128059109666,0.040359473424665025
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,508,Chronic respiratory diseases,3,Rate,1992,25.00435128915111,27.00821257123902,22.892974152447966
1,All Population,1,Deaths,135,Brazil,3,Both,27,Age-standardized,508,Chronic respiratory diseases,3,Rate,1992,47.84599384601216,51.99193833658037,43.02338952887085
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,410,Neoplasms,1,Number,1992,118163.00853838379,122128.06358940178,113452.87610400586
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,410,Neoplasms,2,Percent,1992,0.13514779216116052,0.1398190920180412,0.1292334361649064
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,410,Neoplasms,3,Rate,1992,76.62229020583119,79.19341295024327,73.56802526489099
1,All Population,1,Deaths,135,Brazil,3,Both,27,Age-standardized,410,Neoplasms,3,Rate,1992,123.49910382605286,128.20318129695278,116.68519350469336
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,526,Digestive diseases,1,Number,1992,40549.71298130547,43472.259875920456,38021.38585346977
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,526,Digestive diseases,2,Percent,1992,0.046379013378413096,0.04958435200637456,0.04338931031547086
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,526,Digestive diseases,3,Rate,1992,26.294285447272387,28.18939830085718,24.65480269103085
1,All Population,1,Deaths,135,Brazil,3,Both,27,Age-standardized,526,Digestive diseases,3,Rate,1992,40.26222831795705,43.219799373652464,37.59243933623683
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,626,Musculoskeletal disorders,1,Number,1992,1430.2495040054923,1544.1593298559485,1311.1033479293424
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,626,Musculoskeletal disorders,2,Percent,1992,0.0016358413845650728,0.0017617186162414379,0.0014993320637691045
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,626,Musculoskeletal disorders,3,Rate,1992,0.927439085363643,1.0013034177090243,0.8501792774025878
1,All Population,1,Deaths,135,Brazil,3,Both,27,Age-standardized,626,Musculoskeletal disorders,3,Rate,1992,1.2566727052259856,1.3602697013809548,1.1450106982608976
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,640,Other non-communicable diseases,1,Number,1992,22577.303304730438,23776.03760729188,21138.93207082239
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,640,Other non-communicable diseases,2,Percent,1992,0.0258221827376989,0.027183507789245432,0.02422306037788466
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,640,Other non-communicable diseases,3,Rate,1992,14.64015437046173,15.417468427937784,13.707448784581016
1,All Population,1,Deaths,135,Brazil,3,Both,27,Age-standardized,640,Other non-communicable diseases,3,Rate,1992,17.307442218079537,18.136887417588003,16.301046869214492
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,955,HIV/AIDS and sexually transmitted infections,1,Number,1992,11198.670646398517,11663.770834610455,10746.50095283851
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,955,HIV/AIDS and sexually transmitted infections,2,Percent,1992,0.012808228281796688,0.013342503991213433,0.012343092842878853
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,955,HIV/AIDS and sexually transmitted infections,3,Rate,1992,7.261729392317708,7.5633215914058525,6.9685219163843115
1,All Population,1,Deaths,135,Brazil,3,Both,27,Age-standardized,955,HIV/AIDS and sexually transmitted infections,3,Rate,1992,7.523354098306611,7.817386886653318,7.232393426207094
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,956,Respiratory infections and tuberculosis,1,Number,1992,60951.123485082986,65380.040095859295,56561.268917270594
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,956,Respiratory infections and tuberculosis,2,Percent,1992,0.06971141957824936,0.07471420465534803,0.0646734111801623
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,956,Respiratory infections and tuberculosis,3,Rate,1992,39.523491571631936,42.39540333188549,36.67690942365747
1,All Population,1,Deaths,135,Brazil,3,Both,27,Age-standardized,956,Respiratory infections and tuberculosis,3,Rate,1992,57.060134635041244,61.56544193935766,52.073695974627135
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,957,Enteric infections,1,Number,1992,36753.48237424596,39474.958100127835,34090.07393126299
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,957,Enteric infections,2,Percent,1992,0.04203688757848785,0.045032022278599385,0.03891951379280405
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,957,Enteric infections,3,Rate,1992,23.83263618105651,25.59736530767577,22.105560532093072
1,All Population,1,Deaths,135,Brazil,3,Both,27,Age-standardized,957,Enteric infections,3,Rate,1992,26.771401256955862,28.448045735705858,24.75683890040533
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,961,Other infectious diseases,1,Number,1992,10566.673390386733,11144.163957057472,9962.407975220884
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,961,Other infectious diseases,2,Percent,1992,0.012085656468105273,0.012755865900612312,0.011379651727300282
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,961,Other infectious diseases,3,Rate,1992,6.851913513741017,7.226384766105931,6.460080227039068
1,All Population,1,Deaths,135,Brazil,3,Both,27,Age-standardized,961,Other infectious diseases,3,Rate,1992,7.2589453745134715,7.639574659883011,6.857453053401575
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,962,Maternal and neonatal disorders,1,Number,1992,58170.982603558885,60137.39517952446,56042.32626324392
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,962,Maternal and neonatal disorders,2,Percent,1992,0.06653205754966741,0.0686499281700055,0.06407145690955005
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,962,Maternal and neonatal disorders,3,Rate,1992,37.72072127937047,38.99583298246396,36.34040331122129
1,All Population,1,Deaths,135,Brazil,3,Both,27,Age-standardized,962,Maternal and neonatal disorders,3,Rate,1992,36.82519886096776,38.071779872380276,35.478092892417905
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,410,Neoplasms,1,Number,1990,110275.83488052509,114193.79938305123,106290.01234448767
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,410,Neoplasms,2,Percent,1990,0.12774717074684355,0.1319513737021404,0.12285042605741481
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,410,Neoplasms,3,Rate,1990,73.84651324240468,76.47018884488405,71.17739632292502
1,All Population,1,Deaths,135,Brazil,3,Both,27,Age-standardized,410,Neoplasms,3,Rate,1990,123.2329035364931,128.2411246689322,117.61849951924408
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,973,Substance use disorders,1,Number,1992,4566.213302679023,4800.676329257244,4295.466512345861
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,973,Substance use disorders,2,Percent,1992,0.005222486908286685,0.005483419851468362,0.004926870503869978
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,973,Substance use disorders,3,Rate,1992,2.960941204420559,3.1129777367265077,2.7853766229342476
1,All Population,1,Deaths,135,Brazil,3,Both,27,Age-standardized,973,Substance use disorders,3,Rate,1992,3.685209965635936,3.873587449703922,3.477662204759771
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,974,Diabetes and kidney diseases,1,Number,1992,43214.2090998098,46044.308159303306,40314.654073333906
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,974,Diabetes and kidney diseases,2,Percent,1992,0.049425531553384215,0.052790695340323136,0.04619707005180244
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,974,Diabetes and kidney diseases,3,Rate,1992,28.022066394708485,29.85723185071769,26.141862518262318
1,All Population,1,Deaths,135,Brazil,3,Both,27,Age-standardized,974,Diabetes and kidney diseases,3,Rate,1992,48.268716058463546,51.71822850935301,44.608473005569735
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,626,Musculoskeletal disorders,1,Number,1990,1356.4123048616316,1467.2339292826143,1245.987277321932
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,626,Musculoskeletal disorders,2,Percent,1990,0.0015713074559993117,0.0016949118942412478,0.0014466425411968152
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,626,Musculoskeletal disorders,3,Rate,1990,0.9083251951041443,0.9825371977991615,0.8343787745910899
1,All Population,1,Deaths,135,Brazil,3,Both,27,Age-standardized,626,Musculoskeletal disorders,3,Rate,1990,1.2726892099403324,1.3839063272857417,1.1681948818249535
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,640,Other non-communicable diseases,1,Number,1990,21932.91098662189,23264.044468812055,20606.088266511
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,640,Other non-communicable diseases,2,Percent,1990,0.025408038255878354,0.026905037594138585,0.023767817013419786
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,640,Other non-communicable diseases,3,Rate,1990,14.687433592072441,15.578830754709786,13.79892314300491
1,All Population,1,Deaths,135,Brazil,3,Both,27,Age-standardized,640,Other non-communicable diseases,3,Rate,1990,16.964741498776092,17.832975960168334,15.962751695272699
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,344,Neglected tropical diseases and malaria,1,Number,1990,14805.57273410159,17676.1454371993,12648.327095838858
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,344,Neglected tropical diseases and malaria,2,Percent,1990,0.017151122207966593,0.02050810101557915,0.014633224850965606
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,344,Neglected tropical diseases and malaria,3,Rate,1990,9.914592114897745,11.836878945573348,8.469986696442444
1,All Population,1,Deaths,135,Brazil,3,Both,27,Age-standardized,344,Neglected tropical diseases and malaria,3,Rate,1990,13.9959727362479,15.964509761966074,12.503583548023782
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,508,Chronic respiratory diseases,1,Number,1990,35818.11452979251,38653.888013690696,32830.39684689319
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,508,Chronic respiratory diseases,2,Percent,1990,0.0414930873101359,0.04473116044843835,0.0380417122945707
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,508,Chronic respiratory diseases,3,Rate,1990,23.98569797098323,25.884681409721452,21.984964685455825
1,All Population,1,Deaths,135,Brazil,3,Both,27,Age-standardized,508,Chronic respiratory diseases,3,Rate,1990,47.97368592563144,52.140801696037016,43.37090586052681
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,386,Nutritional deficiencies,1,Number,1992,12903.40999886979,14408.761069320602,11438.946984616898
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,386,Nutritional deficiencies,2,Percent,1992,0.014757820665201798,0.016454866917648203,0.013108169314020418
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,386,Nutritional deficiencies,3,Rate,1992,8.367160228973534,9.343298599251005,7.417535541334161
1,All Population,1,Deaths,135,Brazil,3,Both,27,Age-standardized,386,Nutritional deficiencies,3,Rate,1992,10.85782881020604,12.183947985916301,9.546398917201467
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,526,Digestive diseases,1,Number,1990,38636.66922892876,41450.14011418436,36037.02239825687
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,526,Digestive diseases,2,Percent,1990,0.04475806460774403,0.047954359406675265,0.041699747607583555
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,526,Digestive diseases,3,Rate,1990,25.873150803597998,27.75719924639824,24.132290221451655
1,All Population,1,Deaths,135,Brazil,3,Both,27,Age-standardized,526,Digestive diseases,3,Rate,1990,40.74396084525033,43.6909576783229,37.84115895605608
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,344,Neglected tropical diseases and malaria,1,Number,1991,14240.88680027888,16951.018526915184,12128.769982469252
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,344,Neglected tropical diseases and malaria,2,Percent,1991,0.01671870619244249,0.019980328973416523,0.01424086446772181
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,344,Neglected tropical diseases and malaria,3,Rate,1991,9.384280128141492,11.170168581831092,7.9924640032287995
1,All Population,1,Deaths,135,Brazil,3,Both,27,Age-standardized,344,Neglected tropical diseases and malaria,3,Rate,1991,13.174117909234447,15.052773691430891,11.68701399570784
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,508,Chronic respiratory diseases,1,Number,1991,36116.994022478655,38874.183298495074,33173.05623539347
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,508,Chronic respiratory diseases,2,Percent,1991,0.04240076158928798,0.04559028855529826,0.03888891599232767
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,508,Chronic respiratory diseases,3,Rate,1991,23.7999215952418,25.616819439829598,21.859962570127763
1,All Population,1,Deaths,135,Brazil,3,Both,27,Age-standardized,508,Chronic respiratory diseases,3,Rate,1991,46.70549216070123,50.40106770821799,42.0368772521269
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,386,Nutritional deficiencies,1,Number,1991,12747.465405802226,14429.477073061766,11172.935415538197
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,386,Nutritional deficiencies,2,Percent,1991,0.014964925695287332,0.01689241659491993,0.013079362282961221
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,386,Nutritional deficiencies,3,Rate,1991,8.400164116851085,9.508554969593249,7.3626001851928216
1,All Population,1,Deaths,135,Brazil,3,Both,27,Age-standardized,386,Nutritional deficiencies,3,Rate,1991,10.809909824732111,12.263232167581515,9.447379918388181
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,955,HIV/AIDS and sexually transmitted infections,1,Number,1990,7208.402319011766,7547.992772555928,6920.603565359177
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,955,HIV/AIDS and sexually transmitted infections,2,Percent,1990,0.008350364312331575,0.008728414269621591,0.00803895787238736
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,955,HIV/AIDS and sexually transmitted infections,3,Rate,1990,4.82712625013634,5.054533922468297,4.6344010307283074
1,All Population,1,Deaths,135,Brazil,3,Both,27,Age-standardized,955,HIV/AIDS and sexually transmitted infections,3,Rate,1990,5.085245315430097,5.308669100671638,4.895881395717627
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,956,Respiratory infections and tuberculosis,1,Number,1990,62036.254395895834,67189.54693032286,57121.67386625689
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,956,Respiratory infections and tuberculosis,2,Percent,1990,0.07186610368252383,0.07767366915659395,0.06599343609496325
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,956,Respiratory infections and tuberculosis,3,Rate,1990,41.54274675606877,44.99366314040494,38.2516845160409
1,All Population,1,Deaths,135,Brazil,3,Both,27,Age-standardized,956,Respiratory infections and tuberculosis,3,Rate,1990,59.91638226318962,64.89863941769437,54.58300032404881
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,957,Enteric infections,1,Number,1990,44092.479863453584,47250.133485119935,40507.58376877984
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,957,Enteric infections,2,Percent,1990,0.05107761776285062,0.05487510708962184,0.04686193172556359
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,957,Enteric infections,3,Rate,1990,29.526649257787884,31.64118060765197,27.126013821975583
1,All Population,1,Deaths,135,Brazil,3,Both,27,Age-standardized,957,Enteric infections,3,Rate,1990,31.551916124194047,33.59870445722065,29.06592630535378
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,961,Other infectious diseases,1,Number,1990,11504.506750002385,12146.24479958793,10846.868412751217
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,961,Other infectious diseases,2,Percent,1990,0.01332724965044536,0.014111585097907255,0.012548429323106305
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,961,Other infectious diseases,3,Rate,1990,7.7040242858448895,8.13376591897981,7.26363498175894
1,All Population,1,Deaths,135,Brazil,3,Both,27,Age-standardized,961,Other infectious diseases,3,Rate,1990,7.952045284839901,8.381688347334771,7.469563406272667
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,962,Maternal and neonatal disorders,1,Number,1990,60033.19229529481,61863.739190863635,58012.64568808493
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,962,Maternal and neonatal disorders,2,Percent,1990,0.06954528875502958,0.0718624250848462,0.06726421161889717
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,962,Maternal and neonatal disorders,3,Rate,1990,40.201390763637185,41.427221479051134,38.84832622372345
1,All Population,1,Deaths,135,Brazil,3,Both,27,Age-standardized,962,Maternal and neonatal disorders,3,Rate,1990,37.559599460246496,38.70232055258489,36.301555012074864
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,542,Neurological disorders,1,Number,1992,24268.832116350844,51366.033638033354,10754.9753155746
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,542,Neurological disorders,2,Percent,1992,0.027753277799876103,0.05859670004174633,0.012307447183142447
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,542,Neurological disorders,3,Rate,1992,15.73701888922019,33.308081647712854,6.974017080132304
1,All Population,1,Deaths,135,Brazil,3,Both,27,Age-standardized,542,Neurological disorders,3,Rate,1992,35.41762034213159,77.64948059423241,14.00451102979468
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,558,Mental disorders,1,Number,1992,3.001532783757546,4.199002213372811,0.6751738207521338
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,558,Mental disorders,2,Percent,1992,3.4324630153819525e-06,4.803519043275191e-06,7.734228422751329e-07
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,558,Mental disorders,3,Rate,1992,0.0019463309106984993,0.002722824766800574,0.00043781353464984697
1,All Population,1,Deaths,135,Brazil,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,1992,0.0019145386348500162,0.0026845367411070845,0.00043038354456407347
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,526,Digestive diseases,1,Number,1991,39029.03510459507,41985.272036686656,36382.397682197545
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,526,Digestive diseases,2,Percent,1991,0.045818465987697746,0.049064523010790395,0.042665378090491896
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,526,Digestive diseases,3,Rate,1991,25.71886173165953,27.66692549236309,23.974813954458302
1,All Population,1,Deaths,135,Brazil,3,Both,27,Age-standardized,526,Digestive diseases,3,Rate,1991,40.0163268455017,42.93664081677279,37.09554228304839
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,542,Neurological disorders,1,Number,1991,23045.127422766323,49191.298744522384,10285.58366941261
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,542,Neurological disorders,2,Percent,1991,0.027045398721938396,0.05770270100365589,0.012105163914836873
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,542,Neurological disorders,3,Rate,1991,15.185987667546057,32.41546216606766,6.7778643134299115
1,All Population,1,Deaths,135,Brazil,3,Both,27,Age-standardized,542,Neurological disorders,3,Rate,1991,35.40121346958799,78.15875055787674,14.01910815882983
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,558,Mental disorders,1,Number,1991,3.013566393671656,4.266119697697309,0.6649702821233983
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,558,Mental disorders,2,Percent,1991,3.5379256569427857e-06,4.9900386756941125e-06,7.827358109043499e-07
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,558,Mental disorders,3,Rate,1991,0.001985842006862529,0.0028112337991893738,0.00043819373693870225
1,All Population,1,Deaths,135,Brazil,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,1991,0.001970903138177933,0.0028142933377001494,0.00043623463705927715
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,386,Nutritional deficiencies,1,Number,1990,13605.523807319323,15395.102306591365,12040.902793172483
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,386,Nutritional deficiencies,2,Percent,1990,0.01576099735624695,0.01784876847235518,0.013935943163479856
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,386,Nutritional deficiencies,3,Rate,1990,9.110976081891305,10.30937219911857,8.063223357409836
1,All Population,1,Deaths,135,Brazil,3,Both,27,Age-standardized,386,Nutritional deficiencies,3,Rate,1990,11.508944431329544,12.954053008211588,10.168406527078728
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,973,Substance use disorders,1,Number,1990,4265.991873536926,4486.313623617319,4018.5601790530927
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,973,Substance use disorders,2,Percent,1990,0.004941834638717456,0.005215043619938402,0.004656063781373421
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,973,Substance use disorders,3,Rate,1990,2.8567330795767143,3.0042721397210217,2.6910397713094296
1,All Population,1,Deaths,135,Brazil,3,Both,27,Age-standardized,973,Substance use disorders,3,Rate,1990,3.632070780616616,3.8190650221459843,3.4264818998568143
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,974,Diabetes and kidney diseases,1,Number,1990,40385.74116330767,42768.55879793765,37736.997983489266
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,974,Diabetes and kidney diseases,2,Percent,1990,0.0467842405820478,0.049622486041296675,0.04368817821515762
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,974,Diabetes and kidney diseases,3,Rate,1990,27.044421589296128,28.640081909624534,25.270683503195006
1,All Population,1,Deaths,135,Brazil,3,Both,27,Age-standardized,974,Diabetes and kidney diseases,3,Rate,1990,48.343762181354414,51.58234099687408,44.67058306627877
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,542,Neurological disorders,1,Number,1990,22399.014301726587,47399.084563105345,10097.612448595186
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,542,Neurological disorders,2,Percent,1990,0.02594447018931976,0.05483255918320622,0.01173148765758158
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,542,Neurological disorders,3,Rate,1990,14.999560946796155,31.740926102799094,6.761893684230385
